,taxon_id,taxon_size,mean_cosine_score,taxon_base_path,taxon_level,level1taxon,fewer_than_or_equal_5items,more_than_0_5_diversity
978,17b10a3e-2530-49cc-8cf6-1e002458b0b0,18,0.39650067687034607,/crime-justice-and-law/data-protection,2,"Crime, justice and law",0,0
854,e856b21f-4123-44b7-9ef8-7754d2981cd5,55,0.39648982882499695,/environment/marine-licences,3,Environment,0,0
212,93549580-c134-41a7-9cbc-1797ebc10200,36,0.39643698930740356,/government/technology-guidance-technology-guidance-digital-transformation,3,Government,0,0
1146,7cd02e03-8f49-48f1-a76a-9d98a14c653f,5,0.39634087681770325,/health-and-social-care/health-conditions,3,Health and social care,1,0
548,e54fd82a-4c93-4e9e-84d8-0fa167e7f004,51,0.3963359296321869,/environment/environmental-management-wildlife-habitat-conservation-mammals,4,Environment,0,0
714,521cd7b5-9aab-4888-8709-f661e3b313a8,60,0.39633506536483765,/money/tobacco-products-duty,3,Money,0,0
485,0366b522-dd0d-41f9-a72f-54a68ae0256d,41,0.39632490277290344,/transport/penalty-points-fines-and-driving-bans,4,Transport,0,0
883,c657bea7-3b82-4103-9d7c-8d9725f87ede,51,0.396047443151474,/education/funding-for-different-types-of-schools-and-settings,3,"Education, training and skills",0,0
764,1fb1ae8d-c975-43ba-9672-13ee0993e98b,59,0.3960155248641968,/crime-justice-and-law/young-people-and-the-law,2,"Crime, justice and law",0,0
912,14b795bd-e695-4068-9aeb-e657b20304d0,38,0.39594566822052,/entering-staying-uk/immigration-penalties,3,Entering and staying in the UK,0,0
406,43058b66-be0c-4bf5-bb87-0844b7374272,200,0.3958324193954468,/transport/cycling-and-walking,3,Transport,0,0
287,b1c19cf1-7533-480b-97e2-ab4c4812c7fa,52,0.39553409814834595,/international/anti-corruption,2,International,0,0
492,b81471a5-d1c3-4bae-8526-71553c248704,5,0.39521080255508423,/environment/treasure-wrecks,3,Environment,1,0
72,71f685fe-0dc3-469d-92c2-1000ad86d7d9,1510,0.3951253294944763,/environment/river-maintenance-flooding-coastal-erosion,2,Environment,0,0
911,c1b4353c-c05f-494c-8f94-10f7c6959287,52,0.3950892388820648,/education/key-stage-5-as-and-a-levels,3,"Education, training and skills",0,0
594,73c19fc1-d7ee-4d6c-b06e-446711ed9240,95,0.39461252093315125,/education/recruiting-inducting-and-managing-teachers,3,"Education, training and skills",0,0
1224,4f72853c-d9ea-4b34-a986-2f62359e9e40,6,0.3945976495742798,/childcare-parenting/childrens-rights,3,"Parenting, childcare and children's services ",0,0
727,b2fa241b-d407-427d-9c00-3cb3b1b240e9,160,0.3945312201976776,/business-and-industry/export-finance,4,Business and industry,0,0
864,ac7b8472-5d09-4679-9551-87847b0ac827,13,0.3942584991455078,/welfare/bereavement,2,Welfare,0,0
459,6a10a7ae-4729-4941-9889-c2330b6a893b,189,0.39424535632133484,/international/the-commonwealth,2,International,0,0
508,d69977ab-4fb1-4ad6-b379-e967c5b7528b,20,0.39395880699157715,/health-and-social-care/disabilities,2,Health and social care,0,0
55,685d131a-5bcc-46e0-b952-8d9a3ffc6f0a,40,0.3938635587692261,/government/technology-guidance-technology-guidance-buying-technology,3,Government,0,0
929,e4335adc-5dc3-47c0-bb27-4998792212eb,18,0.3938511610031128,/childcare-parenting/pregnancy-and-birth,2,"Parenting, childcare and children's services ",0,0
1098,6db1a264-32f2-4c64-acff-b3eedca45353,7,0.39379191398620605,/government/technology-guidance-technology-guidance-cloud-security,4,Government,0,0
215,61b4cb95-d7c9-4c84-a4be-81d941ca11ba,122,0.3932391107082367,/money/savings-investment-tax,3,Money,0,0
265,d8b83666-c939-48fa-9526-49eb8fe0cffe,115,0.39314866065979004,/education/set-up-a-free-school,4,"Education, training and skills",0,0
495,3767d89c-b00c-431e-8b0b-b91c8ff26238,60,0.3928813934326172,/transport/careers-in-transport,2,Transport,0,0
579,6dc91505-fdbd-4b6b-9bd5-fef3dc8baf42,136,0.3928631842136383,/entering-staying-uk/immigration-adviser-services,2,Entering and staying in the UK,0,0
463,98012a21-7425-47db-8ab7-38e0f1162fd1,128,0.39283454418182373,/environment/climate-change-adaptation,3,Environment,0,0
902,aee2e8b8-bc23-455d-adad-ed4df14f07fc,5,0.3927827477455139,/money/dealing-with-hmrc-paying-hmrc-corporation-tax,4,Money,1,0
530,a90b30f7-bd6a-4d49-a7e3-3661e6019f2d,114,0.39233601093292236,/environment/hydrography,3,Environment,0,0
694,286b5fa1-a89b-42a3-bf29-36ef7c326324,64,0.39221569895744324,/money/business-tax-vat-charging-vat,4,Money,0,0
682,3695b5b0-f11c-49d1-bb56-01c730c86347,18,0.39169520139694214,/business/environmental-management-water-water-quality,3,Environment,0,0
359,4f3427ca-b83c-416d-84f6-386328ee3417,73,0.3915935456752777,/transport/hgv-standards-and-checks,4,Transport,0,0
967,1cfb2ddc-91d1-4a57-8ede-4719c7535bd0,13,0.3913944363594055,/money/business-tax-corporation-tax-reliefs,4,Money,0,0
291,fae66b20-eacd-4a41-a417-81cae5fa4b8c,121,0.39118269085884094,/crime-justice-and-law/family-justice-system,2,"Crime, justice and law",0,0
271,7b9b52f3-e403-4844-b22b-879daf1cc776,159,0.390996515750885,/entering-staying-uk/work-and-investor-visas,3,Entering and staying in the UK,0,0
761,db47ae0e-3443-4c3d-a6cc-fb125848b242,29,0.39076587557792664,/money/aggregates-levy,3,Money,0,0
292,656ce189-8363-4dff-83f7-d817f9554a4f,342,0.39040693640708923,/housing-local-and-community/energy-efficiency-in-buildings,3,"Housing, local and community",0,0
1010,2ec0e71c-838f-4d9e-bffa-514cd7fbf863,29,0.39036428928375244,/transport/driving-instruction-and-driving-lessons,3,Transport,0,0
290,c9fc34e6-bef5-44f6-b1c6-9824ac088dca,23,0.38997790217399597,/crime-justice-and-law/legal-aid-for-providers-crime,3,"Crime, justice and law",0,0
782,454b3d57-870e-4691-a700-abbf7d883c34,24,0.38983336091041565,/childcare-parenting/childrens-social-care-providers,3,"Parenting, childcare and children's services ",0,0
860,f867316c-bf18-49d7-b96d-847f6074026a,17,0.38983193039894104,/transport/taxi-and-private-hire-accessiblity,3,Transport,0,0
999,18cb575a-45a0-4ab8-8bff-12c48a2ee8d4,10,0.38977012038230896,/childcare-parenting/providing-childcare,3,"Parenting, childcare and children's services ",0,0
322,d7aa2c13-6148-4411-b119-76e6e4ea94ae,92,0.3895842432975769,/business/bank-regulation,3,Business and industry,0,0
1049,578871e4-b755-4664-b0e6-1b2e8b841600,4,0.3890787363052368,/government/technology-guidance-digital-security,3,Government,1,0
428,27e57b63-4252-4c49-b103-e73f7c6ed394,71,0.38899070024490356,/education/inspection-of-further-education-and-skills-providers,4,"Education, training and skills",0,0
619,a923f233-d230-45a7-991a-24e175c9e684,113,0.3886348605155945,/money/business-tax-vat-accounting-for-vat,4,Money,0,0
576,931dc3bb-827b-4490-8013-111689b25142,63,0.38845694065093994,/education/primary-curriculum-key-stage-2,3,"Education, training and skills",0,0
19,95202728-fb55-4aac-a53e-6a8f1553348a,415,0.3880085051059723,/transport/road-infrastructure,2,Transport,0,0
1033,a1119685-ffef-4417-a3e4-116014ad4523,29,0.3877401351928711,/business-and-industry/business-debt-and-bankruptcy,3,Business and industry,0,0
235,552bc20c-5283-4776-8a32-5cd155f3e64b,88,0.3876810073852539,/environment/environmental-management-land-management-farming,4,Environment,0,0
524,2dc353bf-d481-4c81-9f8f-25e1d4bc5da9,98,0.3875937759876251,/education/inspection-and-performance-of-further-education-providers,3,"Education, training and skills",0,0
78,e26c71f7-3ba8-4884-ab4c-93de5a43943f,264,0.38755670189857483,/government/european-single-market,3,Government,0,0
628,41d3523d-34c4-445f-80c8-d429663cb184,33,0.3870178461074829,/money/trusts,3,Money,0,0
845,66f7bd95-7e8b-4f33-ad7f-77a13ae92d49,50,0.3868808448314667,/crime-justice-and-law/administrative-justice-reform,2,"Crime, justice and law",0,0
1037,a1848bca-b5f7-4e72-8e88-63e2847d20d4,38,0.3861813545227051,/health-and-social-care/disabilities-benefits,3,Health and social care,0,0
131,702b112f-32fb-431c-8fbf-bc38b4419c49,314,0.38606828451156616,/regional-and-local-government/economic-growth-in-wales,3,Regional and local government,0,0
680,1de432b7-2331-4450-9667-374d56e7f084,86,0.385944128036499,/transport/vehicle-tax,4,Transport,0,0
862,c99a6f1b-950c-4358-8521-eeb95d09fb36,17,0.3859190046787262,/transport/seat-belts,4,Transport,0,0
865,6c94d7f9-2270-41e2-b3a1-018cab93cfb7,39,0.385908305644989,/transport/road-transport-emissions,4,Transport,0,0
1119,a390a1eb-5bc6-4704-b3ac-0615ad957c3c,16,0.38576027750968933,/government/data-usage,4,Government,0,0
403,0c46aba4-1986-4574-b957-734c6d104546,37,0.38568949699401855,/housing-local-and-community/owning-renting-property,3,"Housing, local and community",0,0
857,f48188df-8130-4d36-98e0-e72125d016a2,11,0.38533735275268555,/entering-staying-uk/visas-immigration-corporate,2,Entering and staying in the UK,0,0
111,29480b00-dc4d-49a0-b48c-25dda8569325,350,0.38515716791152954,/entering-staying-uk/visas-entry-clearance,2,Entering and staying in the UK,0,0
368,d5236abc-dbf3-4d6a-bba6-e89aceb9264b,9,0.3850485384464264,/business-and-industry/digital-trade,3,Business and industry,0,0
868,5bddffb2-a17e-4933-a3c5-50e90c7869b8,13,0.38432538509368896,/defence/defence-armed-forces-support-services-military-defence-personnel-families-housing-and-accommodation,3,Defence and armed forces,0,0
407,999f9fbe-3c21-4c53-8801-2c20bb130d28,116,0.3842407763004303,/transport/making-roads-safer,4,Transport,0,0
1020,7d0d99a7-ab3f-4581-a452-f04c2f598d2d,32,0.3841840624809265,/entering-staying-uk/rights-nationals-from-outside-eu-eea,3,Entering and staying in the UK,0,0
230,ba3a9702-da22-487f-86c1-8334a730e559,316,0.38405483961105347,/entering-staying-uk,1,Entering and staying in the UK,0,0
323,44bd4859-8bd7-4cae-b89d-a60b3444dc7c,14,0.38380876183509827,/education/school-buildings-and-land-transactions,4,"Education, training and skills",0,0
497,27c5c52b-3b36-4119-b461-976197d929bf,69,0.3836354613304138,/education/running-a-further-or-higher-education-institution,3,"Education, training and skills",0,0
663,974db797-6c7c-4c79-a92e-182dadb62362,50,0.38347625732421875,/health-and-social-care/medicines-medical-devices-blood-medical-devices-regulation-safety,3,Health and social care,0,0
539,906b4bbc-e7e4-416c-bd42-a50b7d5f9574,167,0.38345128297805786,/transport/low-emission-and-electric-vehicles,4,Transport,0,0
332,6d3201e7-5222-4510-b952-706cbde0721c,101,0.38344213366508484,/education/academy-and-academy-trust-finance-and-reporting,3,"Education, training and skills",0,0
458,64f089a8-e342-4a93-9a90-db999bb94719,40,0.38333991169929504,/entering-staying-uk/visit-and-transit-visas,3,Entering and staying in the UK,0,0
394,d7bdaee2-8ea5-460e-b00d-6e9382eb6b61,47,0.38307151198387146,/government/brexit-guidance-for-uk-citizens,3,Government,0,0
789,6d65a934-1129-4713-9c90-39b235cb1693,56,0.3826754093170166,/transport/parking,3,Transport,0,0
726,7c4cf197-2dba-4a82-83e2-6c8bb332525c,40,0.382528692483902,/money/court-claims-debt-bankruptcy,2,Money,0,0
136,89b2ca59-0a37-4576-b226-95bde1e9efc4,13,0.38222163915634155,/childcare-parenting/funding-and-finance-for-childcare-providers,4,"Parenting, childcare and children's services ",0,0
616,6bf58181-7ebe-4599-8a93-281f9b7af810,45,0.3818245530128479,/life-circumstances/lasting-power-attorney,2,Life circumstances,0,0
259,c31256e8-f328-462b-993f-dce50b7892e9,421,0.38179901242256165,/health-and-social-care/health-protection-infectious-diseases,3,Health and social care,0,0
76,431a7fac-a2e8-4ffc-8fc7-bab10fc5e6d4,78,0.38176897168159485,/childcare-parenting/looked-after-children-children-in-care,3,"Parenting, childcare and children's services ",0,0
814,709a17bc-9e62-4caf-9358-57367bace717,18,0.38153377175331116,/environment/oil-and-gas-exploration-and-production,3,Environment,0,0
96,e8aba455-679f-4d85-a671-32e5a550211d,172,0.38140231370925903,/transport/fishing,3,Transport,0,0
679,dbb52b1a-55ba-498c-9097-80787ee74e24,52,0.38118070363998413,/education/school-performance-measures,4,"Education, training and skills",0,0
672,2ced42be-f650-47d6-809f-cba94a8eb50a,5,0.3811158239841461,/money/business-tax-gambling-duties-gaming-duty,4,Money,1,0
514,8d48428d-c9e9-40f6-b133-34ed7cb6c1e2,152,0.3808860182762146,/transport/ports-harbours-and-offshore-installations,3,Transport,0,0
798,73b7b256-23d8-49cb-a234-242c84f5198d,71,0.3806365430355072,/transport/spaceflight,4,Transport,0,0
560,a34518fb-c418-45da-8551-888ca8bdedd6,58,0.3806155323982239,/money/paying-hmrc,3,Money,0,0
220,b45bed95-7818-487f-89b3-31e9d8247273,59,0.3805384337902069,/business-and-industry/embargoes-and-sanctions,4,Business and industry,0,0
300,17fb491a-15f3-4c71-8e25-f645ff8b3ed3,74,0.38036462664604187,/education/school-attendance-and-absence,3,"Education, training and skills",0,0
60,cb4c8377-6fcb-4022-a7a1-98395eb50508,539,0.38021135330200195,/environment/water-industry,2,Environment,0,0
702,49322f0a-04e1-4d08-9e18-e096cfa3301c,125,0.3801180422306061,/education/school-performance-tables-and-ofsted-reports,4,"Education, training and skills",0,0
283,90b0d358-5399-4336-9a02-aaeceb810bbd,238,0.37945544719696045,/business/broadband-investment,3,Business and industry,0,0
848,f34e6a61-d245-4dbb-824a-9cfdf0cda873,23,0.37901827692985535,/crime-justice-and-law/legal-aid-for-providers-electronic-working,3,"Crime, justice and law",0,0
198,e16b62e0-9c54-4547-b8c0-7589d8af3906,47,0.37900975346565247,/education/funding-for-special-educational-needs-and-disability-send,3,"Education, training and skills",0,0
200,40334e3b-8ce3-48d3-96bc-fec16b43da39,139,0.37855321168899536,/education/inspection-of-maintained-schools-and-academies,4,"Education, training and skills",0,0
175,76fec242-7040-4499-8661-dd823f88fab3,307,0.3782719671726227,/housing-local-and-community/homebuying,3,"Housing, local and community",0,0
151,4e213ab1-486c-4d80-ac11-2e15fef8976f,122,0.378262460231781,/health-and-social-care/health-and-social-care-integration,3,Health and social care,0,0
1054,661ebdf1-5683-4f13-9671-50b89086fb4c,8,0.3782467246055603,/environment/environmental-management-chemicals-f-gases-and-hcfcs,3,Environment,0,0
552,09e13bfe-83ee-4e89-acb8-a9f1971cdb04,198,0.37819409370422363,/housing-local-and-community/planning-reform,3,"Housing, local and community",0,0
659,2b5a2c65-e176-466a-873e-712bef4f57f1,16,0.3781415820121765,/education/set-up-develop-multi-academy-trust,4,"Education, training and skills",0,0
968,6949bbe9-60c0-4782-9cdf-873db42514d3,13,0.37801072001457214,/health-and-social-care/medicines-medical-devices-blood-clinical-trials-investigations,3,Health and social care,0,0
587,a7b67f4f-1234-4a0c-90ba-eeed4c5183cd,33,0.3778879940509796,/money/money-laundering-regulations,2,Money,0,0
818,7f3e73e4-f20d-43be-9c80-021f2ac1897f,75,0.37787100672721863,/entering-staying-uk/settlement,3,Entering and staying in the UK,0,0
1032,dfe808c3-6a58-4266-8f50-a93d931bfaaf,4,0.37774932384490967,/government/government-reform,2,Government,1,0
932,72aed311-e76e-4b4e-88db-e14d8bedbee1,31,0.377748042345047,/education/careers-guidance-in-schools,3,"Education, training and skills",0,0
646,c66d9ec0-0455-4cd2-9cc5-becb226206fb,69,0.37755531072616577,/health-and-social-care/end-of-life-care,2,Health and social care,0,0
1215,7ed17bb3-42cd-432a-80fa-c4ee82ad4f2a,6,0.3770075738430023,/crime-justice-and-law/civil-justice-reform,2,"Crime, justice and law",0,0
884,c75ff82f-37a9-4aae-bf8b-807e11d92c53,41,0.3769995868206024,/health-and-social-care/obesity,4,Health and social care,0,0
791,cc195f93-4244-489a-97e9-22480113c770,78,0.37631163001060486,/money/national-insurance,3,Money,0,0
693,70a8cd19-03f8-4b8a-80bd-b444f402bc9a,42,0.37626707553863525,/transport/maritime-security,3,Transport,0,0
440,971bcb67-d0df-4c82-9635-7dda95fb4444,37,0.37595176696777344,/transport/eu-and-international-driving-rules,4,Transport,0,0
1095,b7374969-dfdf-46eb-97f3-7772c011c10d,13,0.37583085894584656,/government/data,3,Government,0,0
125,7983b980-1bb8-4707-9178-981c12ceb333,603,0.37576597929000854,/transport/major-roads,4,Transport,0,0
362,cb73ab7b-1062-4ad7-b91c-0e228516b47e,6,0.37565621733665466,/government/technology-guidance-technology-guidance-managing-government-websites,3,Government,0,0
476,6c8fe95f-1da0-48e0-a474-7e1f0239db80,28,0.3754606544971466,/transport/road-traffic,3,Transport,0,0
461,df68fd4e-8e6f-4473-a24a-6033d65fb1d0,58,0.37539589405059814,/childcare-parenting/child-and-family-social-work,3,"Parenting, childcare and children's services ",0,0
412,ca3c2e22-9ba0-4163-b4a6-7dbf355b9846,131,0.37508276104927063,/education/initial-teacher-training-itt,4,"Education, training and skills",0,0
829,34615cb7-8da8-4ad4-b9f7-759fa4a7afea,46,0.3746580183506012,/money/climate-change-levy,3,Money,0,0
159,13bba81c-b2b1-4b13-a3de-b24748977198,32,0.37463778257369995,/childcare-parenting/adoption,3,"Parenting, childcare and children's services ",0,0
13,c0844541-84cf-4850-a532-7c84c97e2251,285,0.37462812662124634,/health-and-social-care/nhs-efficiency,3,Health and social care,0,0
343,51b699cf-d4dc-488c-a87e-070560d37791,48,0.37450167536735535,/entering-staying-uk/student-visas,3,Entering and staying in the UK,0,0
880,c2367fdf-a8ca-403f-950c-88ebc3879fec,8,0.3743972182273865,/government/content-publishing,4,Government,0,0
585,36c7772d-f1ef-4506-a9af-be366bf49af4,59,0.37431421875953674,/employment/health-and-safety-reform,2,Work,0,0
746,8c9eb069-4c80-4200-a661-99fece37c52e,19,0.3741086423397064,/transport/aviation-and-europe,3,Transport,0,0
51,2c318ae7-511d-4fcb-8c19-7ff0e355b5a9,58,0.3740794062614441,/transport/aviation-passenger-experience,3,Transport,0,0
169,81ddcd37-ea05-44b2-b61f-50c9c0c44cfe,146,0.3740692138671875,/transport/hs2-corporate,4,Transport,0,0
325,a00f964e-f809-499f-9148-c00537437022,47,0.3739872872829437,/transport/psv-standards-and-checks,4,Transport,0,0
752,251c887f-07b9-4e51-838d-18ac72a52b08,101,0.3736613988876343,/welfare/support-for-families,3,Welfare,0,0
237,9ac356b8-b6cf-4eff-a6a8-208374f262e0,147,0.37339118123054504,/money/tax-avoidance,3,Money,0,0
844,bfcc0fcc-1acb-44e0-8d87-1f2918448895,55,0.37333944439888,/business/company-law-reform,4,Business and industry,0,0
531,b8e50b3d-f507-42e2-96d4-9bdfbd2068cb,116,0.37332651019096375,/transport/road-tolls-and-charges,3,Transport,0,0
970,fb5b2e66-5b14-497b-b98b-a56b0adfcfd2,11,0.37297511100769043,/environment/environmental-management-wildlife-habitat-conservation-plants,4,Environment,0,0
483,a7f3005b-a3cd-4060-a127-725accb54f2e,169,0.37261727452278137,/welfare/tax-credits,2,Welfare,0,0
301,f08c20eb-2c28-41d9-96ef-1678425836cd,47,0.372610867023468,/education/school-discipline-and-exclusions,3,"Education, training and skills",0,0
637,cd9cbe35-fa63-489e-8b53-20160a5033af,50,0.3719843029975891,/transport/vehicle-registration-log-books-and-number-plates,4,Transport,0,0
589,4de9ea0e-0203-4d10-a449-45aa5a697514,215,0.3719087541103363,/health-and-social-care/health-emergency-planning,3,Health and social care,0,0
976,9de4e981-1bce-4d9a-91ae-9fd8b3d41a8e,12,0.3715340793132782,/transport/driving-and-mobile-phones,4,Transport,0,0
796,bdb7a7e0-c307-4514-a271-d7f76ee8364d,29,0.3715064823627472,/education/performance-data-and-ofsted-reports-of-further-education-providers,4,"Education, training and skills",0,0
422,03cfc876-f08b-46e1-94eb-81e6e728b1b0,199,0.3713515102863312,/government/major-project-management,3,Government,0,0
653,899d76d6-4d59-409e-a7a4-2a7e47c9361b,46,0.37121841311454773,/environment/climate-change-energy-energy-infrastructure,3,Environment,0,0
678,00606228-4865-4210-a740-12e05149ff9a,58,0.37107980251312256,/defence/defence-armed-forces-support-services-military-defence-personnel-families-pensions-and-compensation,3,Defence and armed forces,0,0
803,fd51d4f6-a8fa-4eaf-a46e-99c2e10053cb,7,0.37107032537460327,/money/dealing-with-hmrc-tax-compliance-disputes,4,Money,0,0
547,76aa7090-5f26-40a1-8cb1-78a299b4a99a,66,0.3707423806190491,/environment/planning-development-protected-sites-species-land-species,4,Environment,0,0
1064,6480296a-839a-4e1a-8234-71d1ce999ce9,15,0.37068453431129456,/environment/oil-spills,3,Environment,0,0
157,e5054ebc-7d1e-4212-81d9-e84852e8ee58,26,0.3706347644329071,/transport/rail-network-and-the-environment,3,Transport,0,0
148,51bbdf23-292a-4b74-8a66-f7db6b93b163,1123,0.3699352443218231,/health-and-social-care/medicines-medical-devices-blood-vigilance-safety-alerts-alerts-and-recalls,4,Health and social care,0,0
695,c58fc0b0-50bd-4a5d-9e41-64230e191032,83,0.369783490896225,/education/school-leadership,4,"Education, training and skills",0,0
418,42350cb9-f4ab-4e4c-abfb-b5662f3d14f4,62,0.3689916431903839,/health-and-social-care/health-improvement,3,Health and social care,0,0
934,457ca0a6-6532-41a8-85a7-b063bf1db08b,26,0.36896446347236633,/childcare-parenting/childrens-centres-childminders-pre-schools-and-nurseries,4,"Parenting, childcare and children's services ",0,0
558,d612c61e-22f4-4922-8bb2-b04b9202126e,57,0.368307888507843,/entering-staying-uk/family-visas,3,Entering and staying in the UK,0,0
277,582b2a51-74a4-40a3-8b78-19b73d16540e,151,0.3682239055633545,/transport/car-motorcycle-and-van-mot-tests,5,Transport,0,0
815,319687d0-5675-4b6b-a0eb-42a44787fdb8,17,0.3681395649909973,/environment/oil-and-gas-licensing,3,Environment,0,0
39,99ad06b5-f5ff-4deb-b413-a5d3b0dc2010,152,0.3680306077003479,/transport/coastguard-search-and-rescue,3,Transport,0,0
841,dad5f9c9-410f-4320-aa14-860ccba2273e,32,0.367933064699173,/housing-local-and-community/homelessness-rough-sleeping,3,"Housing, local and community",0,0
137,e484667a-d31c-471e-9af5-74f6523d183d,1046,0.36769959330558777,/international/peace-stability-in-me-and-north-africa,3,International,0,0
347,3894b4d1-bb7f-4c3d-a680-c904ccabd91e,260,0.3673960566520691,/government/sustainable-development,2,Government,0,0
804,d7dd4470-019c-489b-8978-d06924d021c9,27,0.36731937527656555,/transport/drivers-hours,4,Transport,0,0
358,9bb10f38-3fab-4c12-9b53-c8674e64a67f,10,0.36723217368125916,/education/european-social-fund-esf-and-skills-funding,4,"Education, training and skills",0,0
568,3bb5f304-edcd-4e1e-98ce-67ad8149e5eb,16,0.36719027161598206,/government/voting,3,Government,0,0
1227,8f7df72d-ecfe-45df-a5a1-52bd133aaf82,2,0.3670809864997864,/government/technology-guidance-technology-guidance-design-principles,4,Government,1,0
766,ef3248d2-2145-4f87-b99a-589433c9b101,28,0.36676162481307983,/education/school-food-accommodation-transport-and-uniform,3,"Education, training and skills",0,0
977,4a661fcb-955a-4a47-8b11-529f3df39f5c,12,0.3667573928833008,/transport/speeding,4,Transport,0,0
882,e6e7bd19-e860-45e7-a7f4-b862cb96f3dc,26,0.36663922667503357,/transport/help-on-public-transport,3,Transport,0,0
994,d2110172-5fff-4b7f-ba21-a317908e7bcf,11,0.3663342595100403,/money/dealing-with-hmrc-paying-hmrc-income-tax-and-national-insurance,4,Money,0,0
402,651b2ef7-d5fb-4ebb-b6a9-521b3b766b01,107,0.3662455677986145,/education/teacher-pay-pensions-and-conditions,3,"Education, training and skills",0,0
819,9ff134bb-d201-441d-a485-5fe8b65ad8a4,105,0.36618950963020325,/entering-staying-uk/visa-sponsorship,3,Entering and staying in the UK,0,0
609,b1b5791e-acb0-4ee2-9343-a0998d381a04,15,0.3661516010761261,/housing-local-and-community/landlords,3,"Housing, local and community",0,0
1003,31b40150-090b-44df-9555-da254ccd27e8,5,0.3661029040813446,/life-circumstances/births-deaths-marriages-marriage-divorce-help-and-support-if-you-have-children,3,Life circumstances,1,0
1039,4842335f-2e17-4aa7-ade8-a9f7ca21072d,14,0.3652814030647278,/education/learning-records-service-lrs,3,"Education, training and skills",0,0
689,df842d4d-e892-46fb-8d8a-eabc866baa0b,132,0.3652585446834564,/transport/driving-instructor-registration-and-renewals,4,Transport,0,0
830,15492103-227c-47c4-bb98-0380458b81df,31,0.36516374349594116,/crime-justice-and-law/attorney-general-guidance-to-legal-profession,2,"Crime, justice and law",0,0
816,fa71fba2-a3be-480c-b0a1-359132e67593,7,0.3651150166988373,/environment/oil-and-gas-onshore-oil-and-gas,3,Environment,0,0
327,23265b25-7ec3-4960-8517-4ff8d4d92cac,73,0.3650587201118469,/education/funding-and-finance-for-students,2,"Education, training and skills",0,0
772,4788b4b8-2642-47ca-bfc2-bd7e8705a1da,31,0.3649967908859253,/money/business-tax-vat-importing-goods-and-services,4,Money,0,0
355,2eb09bb6-b069-4604-a55a-08e6cd46d257,182,0.3649235665798187,/health-and-social-care/research-and-innovation-in-health-and-social-care,2,Health and social care,0,0
721,c8fec9a9-94e0-4d5e-b317-fc926d5e7b1c,29,0.3648768365383148,/housing-local-and-community/council-housing-association,3,"Housing, local and community",0,0
750,afeebd0f-2494-421e-92b2-d91c3549c432,26,0.3648136854171753,/crime-justice-and-law/intellectual-property-law-practice-patents,3,"Crime, justice and law",0,0
121,b14a6778-60a2-483a-924c-774d1040cbf4,80,0.3646009564399719,/environment/commercial-fishing-fisheries-and-vessels,2,Environment,0,0
1076,b82fdbdb-275e-4d84-b17a-390061b6c309,36,0.3645944893360138,/education/early-years-funding,4,"Education, training and skills",0,0
1118,f4f8cd96-0d45-49fe-8996-c82154b168ee,6,0.3644794225692749,/government/design-and-build-of-government-services,3,Government,0,0
741,30e14182-efeb-40b8-820d-a320ec514dd4,33,0.36435413360595703,/society-and-culture/community-amateur-sports-clubs,3,Society and culture,0,0
116,7b710bd4-796c-4b99-933e-1eeb596b27a8,726,0.3639809787273407,/housing-local-and-community/rented-housing-sector,3,"Housing, local and community",0,0
54,e74af48a-a39f-4cfc-b735-cbb0c7f84c16,64,0.36341893672943115,/transport/tachographs,4,Transport,0,0
785,0d74fa5d-e56e-4765-904e-2337fa46218e,12,0.3633577525615692,/society-and-culture/citizenship,2,Society and culture,0,0
762,f517defa-2c7b-4923-8263-eabbcd66ba59,34,0.3631212115287781,/business-and-industry/running-charity-trustee-role-board,3,Business and industry,0,0
592,d865075a-4130-4719-b56a-110673cf660a,13,0.3631178140640259,/environment/vessel-licensing,4,Environment,0,0
851,a15cc825-5319-40a9-8396-0153920f8f0b,16,0.36280685663223267,/crime-justice-and-law/domestic-violence,2,"Crime, justice and law",0,0
94,9206c81a-ab48-4325-b309-1a4e7471bd7e,21,0.36275580525398254,/education/further-education-financial-management-and-data-collection,3,"Education, training and skills",0,0
388,08a8a69f-2825-4fe2-a4cf-c83458a5629e,99,0.3626413941383362,/entering-staying-uk/refugees-asylum-human-rights,2,Entering and staying in the UK,0,0
754,a2542401-2043-4ad9-851b-ea886a67b1ff,50,0.36261817812919617,/entering-staying-uk/visa-refusals-appeals,3,Entering and staying in the UK,0,0
471,b1163697-9b00-44cb-861b-101e541e2ce5,151,0.36227482557296753,/health-and-social-care/mental-health-service-reform,4,Health and social care,0,0
466,9177c1ca-76ee-4cab-8aee-8b22efbe4c83,129,0.3618045449256897,/regional-and-local-government/northern-ireland-economy,3,Regional and local government,0,0
573,237b2e72-c465-42fe-9293-8b6af21713c0,4,0.36172088980674744,/childcare-parenting/disagreements-about-parentage,3,"Parenting, childcare and children's services ",1,0
64,4300d7e7-4b3d-4a67-a4a6-c58f6d6bcbfc,141,0.36167633533477783,/transport/rail-network,3,Transport,0,0
1065,fd1ec2a5-b65a-4679-92a3-8f3f49c02008,5,0.36162909865379333,/business-and-industry/directorship-disqualification,4,Business and industry,1,0
773,f6114d3f-c950-424b-8f91-7b437c2992bc,4,0.3613896369934082,/money/dealing-with-hmrc-tax-compliance-clearances-and-approvals,4,Money,1,0
